"","fecha_de_libertad","ABSUELTO","COMPURGADO","CONDENA CONDICIONAL/SUSPENSIÓN CONDICIONADA DE PENA","EXTERNADO","LIBERTAD PREPARATORIA","OTROS","REMISION PARCIAL DE LA PENA","TRATAMIENTO EN LIBERTAD/SEMILIBERTAD"
"59","2019-01-28",0,5,0,15,0,0,0,0
"60","2019-01-29",0,6,12,29,2,1,3,8
"61","2019-01-30",3,5,16,13,0,1,2,2
"62","2019-01-31",1,10,13,10,0,2,1,5
"63","2019-02-01",0,1,3,12,0,1,1,5
"64","2019-02-02",0,3,3,26,0,6,0,2
"65","2019-02-03",0,1,0,7,0,0,0,0
"66","2019-02-04",0,2,0,10,0,0,0,0
"67","2019-02-05",0,3,3,33,0,1,0,0
"68","2019-02-06",2,4,19,27,2,2,2,5
"69","2019-02-07",0,17,15,16,0,3,1,7
"70","2019-02-08",6,6,7,19,4,4,3,4
"71","2019-02-09",0,3,18,36,2,1,0,7
"72","2019-02-10",0,2,1,28,0,0,0,0
"73","2019-02-11",0,7,0,34,0,0,0,0
"74","2019-02-12",3,8,11,22,2,4,0,10
"75","2019-02-13",2,9,10,26,1,3,1,1
"76","2019-02-14",0,22,10,9,2,3,3,7
"77","2019-02-15",0,0,0,21,0,31,0,0
"78","2019-02-16",0,8,3,40,1,2,1,1
"79","2019-02-17",0,3,0,29,0,0,0,0
"80","2019-02-18",0,4,1,19,0,1,0,0
"81","2019-02-19",0,7,3,17,1,2,2,0
"82","2019-02-20",1,10,8,29,1,5,1,2
"83","2019-02-21",3,5,5,25,0,1,3,4
"84","2019-02-22",0,3,7,18,0,1,3,0
"85","2019-02-23",0,7,7,21,4,2,4,1
"86","2019-02-24",0,5,0,33,0,1,0,0
"87","2019-02-25",0,4,1,50,0,0,1,0
"88","2019-02-26",3,9,10,28,2,4,2,6
"89","2019-02-27",0,8,12,18,1,1,0,3
"90","2019-02-28",0,10,13,16,0,5,4,4
"91","2019-03-01",1,14,13,23,1,3,1,9
"92","2019-03-02",0,3,0,29,0,1,0,0
"93","2019-03-03",0,3,0,8,0,0,0,0
"94","2019-03-04",0,5,2,4,0,0,0,1
"95","2019-03-05",6,10,12,21,1,7,1,4
"96","2019-03-06",1,8,9,19,4,4,1,4
"97","2019-03-07",1,6,4,10,0,3,0,2
"98","2019-03-08",1,10,3,22,1,1,1,3
"99","2019-03-09",0,2,5,25,0,0,0,2
"100","2019-03-10",0,1,0,5,0,0,0,0
"101","2019-03-11",0,7,0,11,0,1,0,0
"102","2019-03-12",0,7,12,28,1,6,1,2
"103","2019-03-13",1,8,23,19,0,6,3,1
"104","2019-03-14",1,6,12,17,2,3,1,6
"105","2019-03-15",2,4,8,9,1,6,2,0
"106","2019-03-16",1,1,8,20,0,0,2,2
"107","2019-03-17",0,1,1,37,0,0,0,0
"108","2019-03-18",0,1,0,36,0,0,0,0
"109","2019-03-19",0,3,0,23,0,0,0,0
"110","2019-03-20",0,7,17,35,0,4,2,1
"111","2019-03-21",3,8,16,18,0,2,7,4
"112","2019-03-22",3,5,22,16,0,3,5,9
"113","2019-03-23",2,14,11,28,3,6,2,5
"114","2019-03-24",0,4,0,25,0,0,0,0
"115","2019-03-25",1,3,1,22,0,0,0,0
"116","2019-03-26",3,4,10,19,1,6,5,4
"117","2019-03-27",0,5,12,16,1,2,4,7
"118","2019-03-28",3,7,12,9,2,4,1,3
"119","2019-03-29",7,4,12,12,4,6,2,1
"120","2019-03-30",0,5,7,20,0,1,2,1
"121","2019-03-31",0,1,1,32,0,1,0,0
"122","2019-04-01",0,3,0,40,0,0,0,0
"123","2019-04-02",0,4,12,16,0,1,1,2
"124","2019-04-03",3,3,5,8,1,2,1,3
"125","2019-04-04",4,13,12,12,2,1,1,3
"126","2019-04-05",0,11,15,26,2,7,3,2
"127","2019-04-06",0,3,5,27,1,4,0,0
"128","2019-04-07",0,3,0,20,0,0,0,0
"129","2019-04-08",0,9,0,7,0,0,0,0
"130","2019-04-09",3,5,9,15,1,2,0,1
"131","2019-04-10",4,4,14,2,1,1,3,9
"132","2019-04-11",1,5,3,7,0,0,3,3
"133","2019-04-12",3,5,13,16,0,8,2,3
"134","2019-04-13",4,6,14,7,0,6,0,3
"135","2019-04-14",0,17,12,3,1,6,1,7
"136","2019-04-15",0,14,7,17,1,1,4,2
"137","2019-04-16",1,6,20,54,1,7,2,4
"138","2019-04-17",0,7,2,24,0,3,0,0
"139","2019-04-18",0,1,0,27,0,0,0,0
"140","2019-04-19",0,4,0,27,0,1,0,0
"141","2019-04-20",0,11,7,7,1,7,1,5
"142","2019-04-21",2,8,4,25,0,1,1,0
"143","2019-04-22",0,0,0,39,0,7,0,0
"144","2019-04-23",1,2,11,23,0,3,1,4
"145","2019-04-24",0,11,16,16,1,4,2,6
"146","2019-04-25",3,16,24,23,1,7,3,5
"147","2019-04-26",1,8,11,10,1,5,2,3
"148","2019-04-27",0,1,1,9,0,1,0,1
